generation,samples_seen,tier,member,dataset,suffix,status,rank,population_size,metric_name,metric_value,controller_objective_mistag_percent,validation_working_point_mistag_percent,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total
27,560000,control,lr_14e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,completed,1,4,validation_working_point_mistag_percent,1.0669201228491016,1.0669201228491016,1.0669201228491016,0.18816641794490205,0.041911148365465216,3.3869956931907295,0.251466896625449,0.4183225213276761,0.041911148365465216,2.907341574261403,1.299245582711723,0.05310362794068574,0.0739279730816776,9,4783,0.02095411015713718,0.04188773213561382,2,4772,0.2519727387329085,0.2714597807022018,162,4783,0.06281586318590843,0.08366167634736126,12,4772,0.08353989015852403,0.1042766854213146,20,4781,0.02095411015713718,0.04188773213561382,2,4772,0.23331252820760276,0.2530083284751305,139,4781,0.15402565721207798,0.17443242628841174,62,4772
27,560000,control,lr_3e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,completed,3,4,validation_working_point_mistag_percent,1.119993293487017,1.119993293487017,1.119993293487017,0.2516778459055383,0.04179728317659352,3.649328975848031,0.2089864158829676,0.4599623725849624,0.02089864158829676,3.0524776170776846,1.274817195832062,0.06286851831676246,0.08373172743718635,12,4768,0.02089718550753811,0.041773993997644004,2,4785,0.26198622356516443,0.28142454234936987,174,4768,0.05642261801207999,0.07722956058797506,10,4785,0.08801947460900109,0.1087301926831167,22,4783,0.012915785827257708,0.03380132755663996,1,4785,0.23909338299750554,0.2587202736644929,146,4783,0.15230141860390728,0.17266296597670885,61,4785
27,560000,control,lr_6e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,completed,4,4,validation_working_point_mistag_percent,1.1225705574725189,1.1225705574725189,1.1225705574725189,0.2516778459055383,0.04179728317659352,3.5654363328930216,0.22988505747126436,0.4599623725849624,0.02089864158829676,3.094292443119902,1.3166144830405726,0.06286851831676246,0.08373172743718635,12,4768,0.02089718550753811,0.041773993997644004,2,4785,0.25894884661031153,0.27842234787195524,170,4768,0.059603616373245065,0.08040182570986384,11,4785,0.08801947460900109,0.1087301926831167,22,4783,0.012915785827257708,0.03380132755663996,1,4785,0.24074422449844696,0.2603536340782222,148,4783,0.15490666018154048,0.17525074107578933,63,4785
27,560000,control,lr_9e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,completed,2,4,validation_working_point_mistag_percent,1.1173623226610947,1.1173623226610947,1.1173623226610947,0.2516778459055383,0.04179728317659352,3.607382567652356,0.22988505747126436,0.4599623725849624,0.02089864158829676,3.0524776170776846,1.274817195832062,0.06286851831676246,0.08373172743718635,12,4768,0.02089718550753811,0.041773993997644004,2,4785,0.26047243638868334,0.2799283464116086,172,4768,0.059603616373245065,0.08040182570986384,11,4785,0.08801947460900109,0.1087301926831167,22,4783,0.012915785827257708,0.03380132755663996,1,4785,0.23909338299750554,0.2587202736644929,146,4783,0.15230141860390728,0.17266296597670885,61,4785
27,560000,monitor,lr_14e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,1,4,validation_working_point_mistag_percent,1.0342499996378904,1.0342499996378904,1.0342499996378904,0.1920000075000003,0.07400000180664067,3.245999923971407,0.2040000012451172,0.5519999892187503,0.064,2.8040000299499517,1.1380000434112565,0.018606088111257617,0.020598368265654594,96,50000,0.011203324610580531,0.013200324670579348,37,50000,0.07832412363742852,0.08019424623497834,1623,50000,0.019206856011727752,0.021198656175724483,102,50000,0.03216014672070755,0.03413802716309865,276,50000,0.0103552826863133,0.012352682738312273,32,50000,0.0728906004099937,0.07477840265394942,1402,50000,0.04646757987844391,0.04842202078962597,569,50000
27,560000,monitor,lr_3e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,2,4,validation_working_point_mistag_percent,1.042000026739522,1.042000026739522,1.042000026739522,0.18999999768066408,0.07600000259765634,3.2560000611096203,0.20800000203125002,0.5560000169677739,0.07000000085449219,2.838000127098547,1.1420000055761719,0.018504147852544686,0.02049650800534169,95,50000,0.011365939057076106,0.013362859118674898,38,50000,0.07844219614325174,0.08031191874880092,1628,50000,0.01940315231970049,0.021394792486897213,104,50000,0.03227933793455802,0.0342570583801491,278,50000,0.010871397397403768,0.01286855745420266,35,50000,0.07332450058802308,0.07521094285917775,1419,50000,0.046549971447929286,0.048504252362311165,571,50000
27,560000,monitor,lr_6e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,4,4,validation_working_point_mistag_percent,1.061500020655995,1.061500020655995,1.061500020655995,0.1920000075000003,0.07800000076171876,3.3480000334616093,0.21600000527343763,0.5519999892187503,0.07000000085449219,2.87000008868027,1.166000039497682,0.018606088111257617,0.020598368265654594,96,50000,0.011526437055627167,0.01352327711882593,39,50000,0.07951919438535446,0.08138523706450254,1674,50000,0.019790142708457595,0.02178146288205414,108,50000,0.03216014672070755,0.03413802716309865,276,50000,0.010871397397403768,0.01286855745420266,35,50000,0.0737302985082379,0.07561546080499248,1435,50000,0.04704121797876014,0.04899453891234161,583,50000
27,560000,monitor,lr_9e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val50k_tail,completed,3,4,validation_working_point_mistag_percent,1.0435000090372952,1.0435000090372952,1.0435000090372952,0.1879999917382816,0.07800000076171876,3.2659999505385597,0.20800000203125002,0.557999993699341,0.07000000085449219,2.838000127098547,1.1420000055761719,0.018401668178712582,0.020394108329909573,94,50000,0.011526437055627167,0.01352327711882593,39,50000,0.07856006871344925,0.0804293913269978,1633,50000,0.01940315231970049,0.021394792486897213,104,50000,0.032338770304735434,0.03431641075192643,279,50000,0.010871397397403768,0.01286855745420266,35,50000,0.07332450058802308,0.07521094285917775,1419,50000,0.046549971447929286,0.048504252362311165,571,50000
29,600000,control,lr_14e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,completed,1,4,validation_working_point_mistag_percent,1.0025775332306155,1.0025775332306155,1.0025775332306155,0.16760946993505133,0.041718815185648725,3.121726295206674,0.2503128911138924,0.41937513642202284,0.020859407592824362,2.8517508181769524,1.147267432211858,0.04967788654531877,0.07055446406105609,8,4773,0.0208579569745134,0.041695613360254534,2,4794,0.24206397602777874,0.26170296790983155,149,4773,0.06252782934450443,0.08327848090191264,12,4794,0.08374978267679539,0.10453830463442448,20,4769,0.012891538953639552,0.03373789582221398,1,4794,0.23131664711081684,0.2510853050180822,136,4769,0.1439403483648566,0.16431687916043294,55,4794
29,600000,control,lr_3e-6,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,completed,2,4,validation_working_point_mistag_percent,1.02474448646564,1.02474448646564,1.02474448646564,0.16753926701570682,0.020977554017201593,3.3298429412477906,0.2307530882802388,0.4380475469009854,0.04195510803440319,2.9828953237508307,0.9859450624779648,0.04965708919808202,0.0705249538266349,8,4775,0.01296455423406401,0.033928909286909135,1,4767,0.25002472767948825,0.2695683445421614,159,4775,0.05982851321342246,0.08070487517055787,11,4767,0.08559257909324883,0.10626492630515741,21,4794,0.020976086918577042,0.0419316426618512,2,4767,0.2360583108075045,0.25566919911375086,143,4794,0.13317812449048558,0.15373771130306624,47,4767
