generation,training_chunk,trial,LR,optimization_metric_name,optimization_metric_value,total_mistag_score
24,24,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3664625273522396,0.3664625273522396
24,24,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3594208554763212,0.3594208554763212
25,25,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.35925179131053864,0.35925179131053864
25,25,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.35360211896415517,0.35360211896415517
25,25,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.37013661258167757,0.37013661258167757
25,25,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3674654136197682,0.3674654136197682
25,25,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3583005966193031,0.3583005966193031
26,26,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3540343304750637,0.3540343304750637
26,26,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3470263989895045,0.3470263989895045
26,26,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3686123702450009,0.3686123702450009
26,26,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.36731913843899044,0.36731913843899044
26,26,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3576794042796984,0.3576794042796984
27,27,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3538696800728194,0.3538696800728194
27,27,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34895819641906334,0.34895819641906334
27,27,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.3687024480288976,0.3687024480288976
27,27,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.36582751334519126,0.36582751334519126
27,27,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3571283399737053,0.3571283399737053
28,28,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3557637760917866,0.3557637760917866
28,28,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3481304504288312,0.3481304504288312
28,28,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.368709772578698,0.368709772578698
28,28,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3666069860249823,0.3666069860249823
28,28,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3571416727757467,0.3571416727757467
29,29,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.3573687781195823,0.3573687781195823
29,29,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.34795849627214287,0.34795849627214287
29,29,lr_3e-6,3e-06,validation_total_reference_mistag_geomean_percent,0.36804710350700515,0.36804710350700515
29,29,lr_5_75e-6,5.75e-06,validation_total_reference_mistag_geomean_percent,0.3672261258923941,0.3672261258923941
29,29,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.36025518036775284,0.36025518036775284
30,30,lr_11_25e-6,1.125e-05,validation_total_reference_mistag_geomean_percent,0.35121679563817715,0.35121679563817715
30,30,lr_14e-6,1.4e-05,validation_total_reference_mistag_geomean_percent,0.3467606746854057,0.3467606746854057
