generation,training_chunk,samples_seen,epoch_fraction,trial,LR,optimization_metric_name,optimization_metric_value,optimization_metric_mode,controller_objective_mistag_percent,validation_working_point_mistag_percent,btag_c_mistag_percent_at_0p80,btag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p90,btag_d_mistag_percent_at_0p90,ctag_b_mistag_percent_at_0p50,ctag_d_mistag_percent_at_0p50,ctag_b_mistag_percent_at_0p80,ctag_d_mistag_percent_at_0p80,btag_c_mistag_percent_at_0p80_err_low,btag_c_mistag_percent_at_0p80_err_high,btag_c_mistag_percent_at_0p80_passed,btag_c_mistag_percent_at_0p80_total,btag_d_mistag_percent_at_0p80_err_low,btag_d_mistag_percent_at_0p80_err_high,btag_d_mistag_percent_at_0p80_passed,btag_d_mistag_percent_at_0p80_total,btag_c_mistag_percent_at_0p90_err_low,btag_c_mistag_percent_at_0p90_err_high,btag_c_mistag_percent_at_0p90_passed,btag_c_mistag_percent_at_0p90_total,btag_d_mistag_percent_at_0p90_err_low,btag_d_mistag_percent_at_0p90_err_high,btag_d_mistag_percent_at_0p90_passed,btag_d_mistag_percent_at_0p90_total,ctag_b_mistag_percent_at_0p50_err_low,ctag_b_mistag_percent_at_0p50_err_high,ctag_b_mistag_percent_at_0p50_passed,ctag_b_mistag_percent_at_0p50_total,ctag_d_mistag_percent_at_0p50_err_low,ctag_d_mistag_percent_at_0p50_err_high,ctag_d_mistag_percent_at_0p50_passed,ctag_d_mistag_percent_at_0p50_total,ctag_b_mistag_percent_at_0p80_err_low,ctag_b_mistag_percent_at_0p80_err_high,ctag_b_mistag_percent_at_0p80_passed,ctag_b_mistag_percent_at_0p80_total,ctag_d_mistag_percent_at_0p80_err_low,ctag_d_mistag_percent_at_0p80_err_high,ctag_d_mistag_percent_at_0p80_passed,ctag_d_mistag_percent_at_0p80_total,validation_accuracy,validation_auc,validation_loss,best_so_far,training_loss,validation_shutdown_warning,validation_dataset,validation_suffix,validation_sample_count,evaluation_type
2,2,60000,,lr_6e-6,6e-06,validation_working_point_mistag_percent,1.1158391301868957,min,1.1158391301868957,1.1158391301868957,0.18711018236162194,0.042034468263976464,3.4303533351348063,0.25220680958385877,0.5662751750341221,0.021017234131988232,3.2927852375337623,1.13493059945103,0.05280570859649905,0.07351362371306103,9,4810,0.021015761477475876,0.0420109140438705,2,4758,0.25290363364859414,0.2722632871799364,165,4810,0.0630005431613772,0.08390736946539733,12,4758,0.09878697397373293,0.11951824880376619,27,4768,0.012989076806294294,0.03399306199892636,1,4758,0.24879457172103034,0.26838241603434554,157,4768,0.14362444314116612,0.16416029914321384,54,4758,0.88811,0.9708632847425275,0.30516,1.0582896219116886,0.31705,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
2,2,60000,,lr_9e-6,9e-06,validation_working_point_mistag_percent,1.0982652632618377,min,1.0982652632618377,1.0982652632618377,0.2097755348002171,0.06224066547670902,3.4403187817357477,0.26970954698376853,0.526426597523909,0.04149377593360996,3.0743314480755055,1.1618257555652352,0.056635529627588374,0.0775206908942948,10,4767,0.027025100525597628,0.04774186440699134,3,4820,0.25437007377694526,0.273900141369722,164,4767,0.06508883386346234,0.08571952892939541,13,4820,0.09509662351297102,0.11592760177986383,25,4749,0.020745452957365237,0.04147082372030504,2,4820,0.24078118221740608,0.2605393584539546,146,4749,0.14453676155261938,0.16479736071207135,56,4820,0.88874,0.9710927581874054,0.30296,1.0582896219116886,0.3149,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
3,3,80000,,lr_14e-6,1.4e-05,validation_working_point_mistag_percent,1.1476950149604104,min,1.1476950149604104,1.1476950149604104,0.1668752607425949,0.06298551494618129,3.3375052573435866,0.31492757473090643,0.5649717514124294,0.041990342221289105,3.1596569051142294,1.5326475131720665,0.049460379450174646,0.07024583293891602,8,4794,0.0273484749269465,0.04831279670976264,3,4763,0.24983648181710685,0.26929946191518794,160,4794,0.07141521979385068,0.09227377245268373,15,4763,0.09856007442578885,0.11924418666369148,27,4779,0.020993701546624947,0.04196683742310633,2,4763,0.24339841196848594,0.2629968819132675,151,4779,0.16810103781113028,0.188448373037378,73,4763,0.88749,0.9707208773044281,0.30333,1.0582896219116886,0.30532,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
3,3,80000,,lr_3e-6,3e-06,validation_working_point_mistag_percent,1.0881584242562736,min,1.0881584242562736,1.0881584242562736,0.18899622976515282,0.06276150467336475,3.254934974310072,0.3138075413981654,0.5214852047590935,0.06276150467336475,3.108051822837347,1.192468611633629,0.0533376772994073,0.07425348825045679,9,4762,0.0272512229625944,0.04814109474411451,3,4780,0.2474985977889973,0.26712701059550537,155,4762,0.07116150208814637,0.09194635566213473,15,4780,0.09420570271667042,0.11484324799724589,25,4794,0.0272512229625944,0.04814109474411451,3,4780,0.2410186579296321,0.26057734333887855,149,4794,0.14710828770664128,0.16752557755426845,57,4780,0.88735,0.9711510044035744,0.30498,1.0582896219116886,0.31629,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
3,3,80000,,lr_6e-6,6e-06,validation_working_point_mistag_percent,1.109709506619656,min,1.109709506619656,1.109709506619656,0.16736401673640167,0.04175365344467641,3.3263598512182826,0.2713987404739605,0.5035669453358318,0.06263048176311534,3.2102391030767508,1.2943632609082287,0.04960517193378195,0.07045128612883048,8,4780,0.020875373680074177,0.04173041285626091,2,4790,0.24976718951503668,0.2692918245986442,159,4780,0.06549612541394854,0.0862552993870688,13,4790,0.09266159364186966,0.1134278756085412,24,4766,0.02719433834479813,0.04804066250252428,3,4790,0.24567914742176822,0.26530984211684194,153,4766,0.15344998701593837,0.17378212508448976,62,4790,0.88797,0.9712590450612382,0.30164,1.0582896219116886,0.31154,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
3,3,80000,,lr_9e-6,9e-06,validation_working_point_mistag_percent,1.098829089337277,min,1.098829089337277,1.098829089337277,0.16680567139282734,0.06276150467336475,3.148457082599197,0.3138075413981654,0.5042016936025333,0.06276150467336475,3.1092436376765216,1.4225940786822424,0.04943976378243364,0.07021658026298695,8,4796,0.0272512229625944,0.04814109474411451,3,4780,0.24254806627455466,0.26208175105773557,151,4796,0.07116150208814637,0.09194635566213473,15,4780,0.09277817706231797,0.11357036287173933,24,4760,0.0272512229625944,0.04814109474411451,3,4780,0.24189099176602258,0.26158885200652654,148,4760,0.16140609254366844,0.18172711570105804,68,4780,0.88839,0.9712268461470804,0.30143,1.0582896219116886,0.31246,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
4,4,100000,,lr_14e-6,1.26e-05,validation_working_point_mistag_percent,1.0439924979430277,min,1.0439924979430277,1.0439924979430277,0.18750000715255766,0.06277463904582549,2.9375000210106372,0.29294831180578657,0.5465629773804692,0.04184975936388366,3.069161265607537,1.213643002177524,0.052915658525468305,0.07366654375771156,9,4800,0.027256924516033818,0.048151161068734315,3,4779,0.2340906659201017,0.2536959564845669,141,4800,0.06846047098733074,0.08925840056241553,14,4779,0.09699567109863445,0.1177831603967225,26,4757,0.020923419942392277,0.04182641167487599,2,4779,0.24038191347732601,0.260109042003567,146,4757,0.14849477312767045,0.16890747479229254,58,4779,0.88888,0.9710380733745047,0.3004,1.0439924979430277,0.30751,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
4,4,100000,,lr_3e-6,3e-06,validation_working_point_mistag_percent,1.1223757881512966,min,1.1223757881512966,1.1223757881512966,0.18750000715255766,0.06277463904582549,3.312500055283309,0.31387318921616475,0.5465629773804692,0.06277463904582549,3.2793777959086965,1.213643002177524,0.052915658525468305,0.07366654375771156,9,4800,0.027256924516033818,0.048151161068734315,3,4779,0.24874231856359258,0.26819139167336137,159,4800,0.07117637674503366,0.09196555114033521,15,4779,0.09699567109863445,0.1177831603967225,26,4757,0.027256924516033818,0.048151161068734315,3,4779,0.24855942877351003,0.26819819390209787,156,4757,0.14849477312767045,0.16890747479229254,58,4779,0.88756,0.9707579810075009,0.30669,1.0439924979430277,0.31611,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
4,4,100000,,lr_6e-6,6e-06,validation_working_point_mistag_percent,1.1086017672708428,min,1.1086017672708428,1.1086017672708428,0.18734388248013387,0.06290627126839761,3.4138218476836726,0.3145313623801946,0.5458744523742948,0.06290627126839761,3.0233046011908735,1.2581254495207783,0.05287162365564175,0.07360529945997069,9,4804,0.02731407154343503,0.04825205633603117,3,4769,0.25244173291628647,0.27183244183817956,164,4804,0.07132546604163154,0.09215794765660393,15,4769,0.09687373348192634,0.11763533111044164,26,4763,0.02731407154343503,0.04825205633603117,3,4769,0.23841342674264,0.25813496131865465,144,4763,0.15148615394386927,0.1719229986427524,60,4769,0.88728,0.970964498389579,0.30443,1.0439924979430277,0.31396,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
4,4,100000,,lr_9e-6,9e-06,validation_working_point_mistag_percent,1.1117545734254892,min,1.1117545734254892,1.1117545734254892,0.1678556441460344,0.06273525721455459,3.1892572796174603,0.31367629808361475,0.6056808456759659,0.04182350480970305,3.1328320727125276,1.3801756851440523,0.04975081464967093,0.07065794465002924,8,4766,0.027239827008565667,0.04812097471619078,3,4782,0.2448673936740267,0.2645068913712051,152,4766,0.07113177141784459,0.09190798873497906,15,4782,0.10227856874815994,0.12290680810132809,29,4788,0.020910294496419086,0.041800186403251734,2,4782,0.24213342978272948,0.2617062708434099,150,4788,0.15883464879144163,0.17916491194899087,66,4782,0.88888,0.9707832829705122,0.30202,1.0439924979430277,0.30398,False,/data/suehara/part/march/datasets/20250711_ilc_nnqq_sgv_10m_3cat_parquet,val5k_tail,15000,proxy
