source_run,generation,training_chunk,trial,LR,optimization_metric_name,optimization_metric_value,total_mistag_score
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,9,9,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34685020584285214,0.34685020584285214
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,10,10,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34716377265382886,0.34716377265382886
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,11,11,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34612059710806786,0.34612059710806786
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,12,12,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34610227466370924,0.34610227466370924
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,13,13,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34506434122788265,0.34506434122788265
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,14,14,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34462121042518273,0.34462121042518273
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,15,15,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34879564247810935,0.34879564247810935
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,16,16,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34731646950691725,0.34731646950691725
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,17,17,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3457053315139252,0.3457053315139252
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,18,18,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34614898004496725,0.34614898004496725
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,19,19,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34618870257482837,0.34618870257482837
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,20,20,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34489768553102296,0.34489768553102296
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,21,21,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3452047009654667,0.3452047009654667
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,22,22,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.3475403245158672,0.3475403245158672
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,23,23,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.346089364008585,0.346089364008585
runs/pbt/fixed_lr_continuation_20260917_lr_8_5e-6,24,24,lr_8_5e-6,8.5e-06,validation_total_reference_mistag_geomean_percent,0.34763776074719493,0.34763776074719493
